    progress: ~50 Phase-II iters, 9s elapsed obj=-178.8027
    progress: ~150 Phase-II iters, 1438s elapsed obj=-2403.7094
    progress: ~200 Phase-II iters, 1448s elapsed obj=-2419.4614
    progress: ~250 Phase-II iters, 1457s elapsed obj=-2433.3155
    progress: ~300 Phase-II iters, 1466s elapsed obj=-2441.4431
    progress: ~350 Phase-II iters, 1475s elapsed obj=-2442.1076
    progress: ~400 Phase-II iters, 1484s elapsed obj=-2442.5037
    progress: ~450 Phase-II iters, 1493s elapsed obj=-2444.1702
    progress: ~500 Phase-II iters, 1502s elapsed obj=-2450.4522
    progress: ~550 Phase-II iters, 1511s elapsed obj=-2457.8232
    progress: ~600 Phase-II iters, 1520s elapsed obj=-2466.0761
    progress: ~650 Phase-II iters, 1529s elapsed obj=-2468.3269
    progress: ~700 Phase-II iters, 1538s elapsed obj=-2472.9901
    progress: ~750 Phase-II iters, 1547s elapsed obj=-2473.6661
    progress: ~800 Phase-II iters, 1556s elapsed obj=-2475.6855
    progress: ~850 Phase-II iters, 1565s elapsed obj=-2479.7673
    progress: ~900 Phase-II iters, 1574s elapsed obj=-2481.9748
    progress: ~950 Phase-II iters, 1583s elapsed obj=-2483.3001
    progress: ~1000 Phase-II iters, 1592s elapsed obj=-2484.8577
    progress: ~1050 Phase-II iters, 1601s elapsed obj=-2486.3592
    progress: ~1100 Phase-II iters, 1610s elapsed obj=-2487.9238
    progress: ~1150 Phase-II iters, 1619s elapsed obj=-2488.6830
[run2] round 3: Phase II stopped at pivot 1169 (current basis is not primal feasible); last_obj=-2489.524332 failed-basis min_xB=-1.204e-05 cond2=3.723e+06
[run2] round 3: vertex cleanup swaps=0 cond2=3.723e+06 min_xB(gesv)=-1.204e-05
[run2] round 3: re-repair pivots=1 feas=True min_xB=-3.553e-15
    progress: ~50 Phase-II iters, 1633s elapsed obj=-2491.5172
    progress: ~100 Phase-II iters, 1642s elapsed obj=-2492.1508
    progress: ~150 Phase-II iters, 1651s elapsed obj=-2493.1695
    progress: ~200 Phase-II iters, 1660s elapsed obj=-2494.4750
    progress: ~250 Phase-II iters, 1669s elapsed obj=-2499.6182
[run2] round 4: Phase II stopped at pivot 297 (current basis is not primal feasible); last_obj=-2501.254736 failed-basis min_xB=-7.401e-04 cond2=1.499e+06
[run2] round 4: vertex cleanup swaps=0 cond2=1.499e+06 min_xB(gesv)=-7.401e-04
[run2] round 4: re-repair pivots=1 feas=True min_xB=-1.776e-15
    progress: ~50 Phase-II iters, 1688s elapsed obj=-2503.9834
    progress: ~100 Phase-II iters, 1697s elapsed obj=-2506.4770
    progress: ~150 Phase-II iters, 1706s elapsed obj=-2523.7254
    progress: ~200 Phase-II iters, 1716s elapsed obj=-2530.5702
    progress: ~250 Phase-II iters, 1725s elapsed obj=-2532.7726
    progress: ~300 Phase-II iters, 1734s elapsed obj=-2537.4891
    progress: ~350 Phase-II iters, 1742s elapsed obj=-2541.3779
    progress: ~400 Phase-II iters, 1750s elapsed obj=-2543.8289
    progress: ~450 Phase-II iters, 1758s elapsed obj=-2545.9084
    progress: ~500 Phase-II iters, 1767s elapsed obj=-2548.6120
    progress: ~550 Phase-II iters, 1775s elapsed obj=-2552.0080
    progress: ~600 Phase-II iters, 1783s elapsed obj=-2554.6970
[run2] round 5: Phase II stopped at pivot 614 (current basis is not primal feasible); last_obj=-2554.927418 failed-basis min_xB=-1.052e-04 cond2=3.164e+06
[run2] round 5: vertex cleanup swaps=0 cond2=3.164e+06 min_xB(gesv)=-1.052e-04
[run2] round 5: re-repair pivots=1 feas=True min_xB=-1.900e-14
    progress: ~50 Phase-II iters, 1795s elapsed obj=-2557.9355
    progress: ~100 Phase-II iters, 1803s elapsed obj=-2563.6228
[run2] round 6: Phase II stopped at pivot 117 (current basis is not primal feasible); last_obj=-2563.861658 failed-basis min_xB=-6.487e-05 cond2=1.283e+08
[run2] round 6: vertex cleanup swaps=0 cond2=1.283e+08 min_xB(gesv)=-6.487e-05
[run2] round 6: re-repair pivots=1 feas=True min_xB=-3.588e-13
[run2] round 7: Phase II stopped at pivot 18 (current basis is not primal feasible); last_obj=-2564.562051 failed-basis min_xB=-9.403e-05 cond2=6.140e+07
[run2] round 7: vertex cleanup swaps=0 cond2=6.140e+07 min_xB(gesv)=-9.403e-05
[run2] round 7: re-repair pivots=1 feas=True min_xB=-2.665e-13
    progress: ~50 Phase-II iters, 1819s elapsed obj=-2566.9481
    progress: ~100 Phase-II iters, 1828s elapsed obj=-2568.9221
    progress: ~150 Phase-II iters, 1836s elapsed obj=-2569.7795
    progress: ~200 Phase-II iters, 1844s elapsed obj=-2570.7223
    progress: ~250 Phase-II iters, 1854s elapsed obj=-2571.4485
    progress: ~300 Phase-II iters, 1863s elapsed obj=-2571.5984
    progress: ~350 Phase-II iters, 1873s elapsed obj=-2575.0336
    progress: ~400 Phase-II iters, 1883s elapsed obj=-2576.9994
    progress: ~450 Phase-II iters, 1892s elapsed obj=-2578.1841
    progress: ~500 Phase-II iters, 1901s elapsed obj=-2578.9841
    progress: ~550 Phase-II iters, 1910s elapsed obj=-2580.1834
    progress: ~600 Phase-II iters, 1919s elapsed obj=-2580.6756
    progress: ~650 Phase-II iters, 1928s elapsed obj=-2581.0431
[run2] certification: OPTIMAL at tol=1e-08 (extra pivots=0, rounds=1)
[run2] RRQR cond2=9.423e+01 (0.1s)
[run2] repair pivots=1279 min_xB=0.000e+00 resid=1.43e-13 cond2=1.246e+05 (8.0s)
[run2] Phase II pivots=10589 (1931.2s) status=optimal (certified: simplex optimum reached)
[run2] VERIFY basis_resid=1.04e-10 rel_primal=4.148e-14 min_reduced=-1.138e-14 rel_dual=-1.116e-14 rel_gap=1.762e-15
[run2] OBJECTIVE=-2581.139259  (dual bound -2581.139259)
    progress: ~50 Phase-II iters, 9s elapsed obj=-178.8027
    progress: ~100 Phase-II iters, 19s elapsed obj=-232.6797
    progress: ~150 Phase-II iters, 28s elapsed obj=-235.6410
    progress: ~200 Phase-II iters, 37s elapsed obj=-240.3647
    progress: ~250 Phase-II iters, 46s elapsed obj=-241.9157
    progress: ~300 Phase-II iters, 55s elapsed obj=-242.0442
    progress: ~350 Phase-II iters, 65s elapsed obj=-242.0923
    progress: ~400 Phase-II iters, 74s elapsed obj=-242.1242
    progress: ~450 Phase-II iters, 83s elapsed obj=-244.1562
    progress: ~500 Phase-II iters, 93s elapsed obj=-246.2504
    progress: ~550 Phase-II iters, 102s elapsed obj=-248.4297
    progress: ~600 Phase-II iters, 111s elapsed obj=-249.2837
    progress: ~650 Phase-II iters, 121s elapsed obj=-249.5107
    progress: ~700 Phase-II iters, 130s elapsed obj=-249.6813
    progress: ~750 Phase-II iters, 139s elapsed obj=-249.7107
[run3] round 1: Phase II stopped at pivot 781 (current basis is not primal feasible); last_obj=-249.733263 failed-basis min_xB=-1.059e-06 cond2=1.361e+05
[run3] round 1: vertex cleanup swaps=0 cond2=1.361e+05 min_xB(gesv)=-1.059e-06
[run3] round 1: re-repair pivots=1 feas=True min_xB=-4.441e-16
    progress: ~50 Phase-II iters, 155s elapsed obj=-250.2025
    progress: ~100 Phase-II iters, 164s elapsed obj=-250.6474
    progress: ~150 Phase-II iters, 173s elapsed obj=-267.6996
    progress: ~200 Phase-II iters, 182s elapsed obj=-276.2641
    progress: ~250 Phase-II iters, 192s elapsed obj=-278.8860
    progress: ~300 Phase-II iters, 201s elapsed obj=-283.5195
    progress: ~350 Phase-II iters, 210s elapsed obj=-283.8003
    progress: ~400 Phase-II iters, 219s elapsed obj=-284.7622
    progress: ~450 Phase-II iters, 228s elapsed obj=-314.3503
    progress: ~500 Phase-II iters, 238s elapsed obj=-326.1980
    progress: ~550 Phase-II iters, 248s elapsed obj=-336.5215
    progress: ~600 Phase-II iters, 257s elapsed obj=-336.6197
    progress: ~650 Phase-II iters, 266s elapsed obj=-336.7545
    progress: ~700 Phase-II iters, 275s elapsed obj=-337.5511
    progress: ~750 Phase-II iters, 284s elapsed obj=-370.4445
    progress: ~800 Phase-II iters, 294s elapsed obj=-371.8363
    progress: ~850 Phase-II iters, 303s elapsed obj=-373.6556
    progress: ~900 Phase-II iters, 312s elapsed obj=-374.2427
    progress: ~950 Phase-II iters, 321s elapsed obj=-477.5681
    progress: ~1000 Phase-II iters, 331s elapsed obj=-516.1976
    progress: ~1050 Phase-II iters, 340s elapsed obj=-530.3792
    progress: ~1100 Phase-II iters, 349s elapsed obj=-543.3378
    progress: ~1150 Phase-II iters, 358s elapsed obj=-563.4414
    progress: ~1200 Phase-II iters, 367s elapsed obj=-576.1596
    progress: ~1250 Phase-II iters, 376s elapsed obj=-589.3284
    progress: ~1300 Phase-II iters, 385s elapsed obj=-592.1726
    progress: ~1350 Phase-II iters, 395s elapsed obj=-594.6511
    progress: ~1400 Phase-II iters, 405s elapsed obj=-595.5767
    progress: ~1450 Phase-II iters, 414s elapsed obj=-595.8542
    progress: ~1500 Phase-II iters, 423s elapsed obj=-596.6467
    progress: ~1550 Phase-II iters, 432s elapsed obj=-596.9710
    progress: ~1600 Phase-II iters, 441s elapsed obj=-597.8597
    progress: ~1650 Phase-II iters, 450s elapsed obj=-599.1624
    progress: ~1700 Phase-II iters, 460s elapsed obj=-599.9135
    progress: ~1750 Phase-II iters, 469s elapsed obj=-600.4054
    progress: ~1800 Phase-II iters, 478s elapsed obj=-600.6450
    progress: ~1850 Phase-II iters, 487s elapsed obj=-602.3421
    progress: ~1900 Phase-II iters, 496s elapsed obj=-602.9131
    progress: ~1950 Phase-II iters, 506s elapsed obj=-604.0351
    progress: ~2000 Phase-II iters, 515s elapsed obj=-606.9296
    progress: ~2050 Phase-II iters, 524s elapsed obj=-608.8104
    progress: ~2100 Phase-II iters, 533s elapsed obj=-609.2661
    progress: ~2150 Phase-II iters, 543s elapsed obj=-661.8497
    progress: ~2200 Phase-II iters, 552s elapsed obj=-812.5083
    progress: ~2250 Phase-II iters, 561s elapsed obj=-971.6900
    progress: ~2300 Phase-II iters, 571s elapsed obj=-1102.9287
    progress: ~2350 Phase-II iters, 580s elapsed obj=-1174.2845
    progress: ~2400 Phase-II iters, 589s elapsed obj=-1213.9579
    progress: ~2450 Phase-II iters, 598s elapsed obj=-1227.8136
    progress: ~2500 Phase-II iters, 607s elapsed obj=-1237.8919
    progress: ~2550 Phase-II iters, 617s elapsed obj=-1265.5227
    progress: ~2600 Phase-II iters, 626s elapsed obj=-1270.9173
    progress: ~2650 Phase-II iters, 635s elapsed obj=-1279.8924
    progress: ~2700 Phase-II iters, 644s elapsed obj=-1292.2403
    progress: ~2750 Phase-II iters, 653s elapsed obj=-1298.5744
    progress: ~2800 Phase-II iters, 663s elapsed obj=-1320.8443
    progress: ~2850 Phase-II iters, 672s elapsed obj=-1340.3793
    progress: ~2900 Phase-II iters, 681s elapsed obj=-1351.8120
    progress: ~2950 Phase-II iters, 690s elapsed obj=-1353.4615
    progress: ~3000 Phase-II iters, 699s elapsed obj=-1354.5436
    progress: ~3050 Phase-II iters, 708s elapsed obj=-1354.7645
    progress: ~3100 Phase-II iters, 718s elapsed obj=-1355.4025
    progress: ~3150 Phase-II iters, 727s elapsed obj=-1355.5255
    progress: ~3200 Phase-II iters, 736s elapsed obj=-1355.7300
    progress: ~3250 Phase-II iters, 745s elapsed obj=-1361.5417
    progress: ~3300 Phase-II iters, 754s elapsed obj=-1383.9504
    progress: ~3350 Phase-II iters, 764s elapsed obj=-1426.4290
    progress: ~3400 Phase-II iters, 773s elapsed obj=-1447.3202
    progress: ~3450 Phase-II iters, 782s elapsed obj=-1482.5743
    progress: ~3500 Phase-II iters, 791s elapsed obj=-1483.9697
    progress: ~3550 Phase-II iters, 800s elapsed obj=-1492.9623
    progress: ~3600 Phase-II iters, 809s elapsed obj=-1500.8670
    progress: ~3650 Phase-II iters, 818s elapsed obj=-1502.4827
    progress: ~3700 Phase-II iters, 828s elapsed obj=-1505.7182
    progress: ~3750 Phase-II iters, 837s elapsed obj=-1532.1173
    progress: ~3800 Phase-II iters, 846s elapsed obj=-1541.7537
    progress: ~3850 Phase-II iters, 856s elapsed obj=-1559.6183
    progress: ~3900 Phase-II iters, 865s elapsed obj=-1567.3634
    progress: ~3950 Phase-II iters, 874s elapsed obj=-1570.4809
    progress: ~4000 Phase-II iters, 883s elapsed obj=-1576.8064
    progress: ~4050 Phase-II iters, 892s elapsed obj=-1582.4813
    progress: ~4100 Phase-II iters, 901s elapsed obj=-1587.6682
    progress: ~4150 Phase-II iters, 910s elapsed obj=-1590.7863
    progress: ~4200 Phase-II iters, 919s elapsed obj=-1593.2902
    progress: ~4250 Phase-II iters, 928s elapsed obj=-1594.7785
    progress: ~4300 Phase-II iters, 937s elapsed obj=-1596.4455
    progress: ~4350 Phase-II iters, 946s elapsed obj=-1597.2524
    progress: ~4400 Phase-II iters, 955s elapsed obj=-1598.3889
    progress: ~4450 Phase-II iters, 964s elapsed obj=-1599.4330
    progress: ~4500 Phase-II iters, 974s elapsed obj=-1600.0710
    progress: ~4550 Phase-II iters, 983s elapsed obj=-1613.7305
    progress: ~4600 Phase-II iters, 992s elapsed obj=-1621.7790
    progress: ~4650 Phase-II iters, 1001s elapsed obj=-1626.2948
    progress: ~4700 Phase-II iters, 1010s elapsed obj=-1654.2680
    progress: ~4750 Phase-II iters, 1020s elapsed obj=-1656.5325
    progress: ~4800 Phase-II iters, 1030s elapsed obj=-1822.1509
    progress: ~4850 Phase-II iters, 1040s elapsed obj=-1848.9980
    progress: ~4900 Phase-II iters, 1050s elapsed obj=-1860.7662
    progress: ~4950 Phase-II iters, 1060s elapsed obj=-1873.2600
    progress: ~5000 Phase-II iters, 1070s elapsed obj=-1889.8674
    progress: ~5050 Phase-II iters, 1080s elapsed obj=-1899.9797
    progress: ~5100 Phase-II iters, 1090s elapsed obj=-1908.2891
    progress: ~5150 Phase-II iters, 1100s elapsed obj=-1921.8659
    progress: ~5200 Phase-II iters, 1110s elapsed obj=-1927.9816
    progress: ~5250 Phase-II iters, 1119s elapsed obj=-1939.0698
    progress: ~5300 Phase-II iters, 1129s elapsed obj=-1940.3788
    progress: ~5350 Phase-II iters, 1138s elapsed obj=-1943.7152
    progress: ~5400 Phase-II iters, 1147s elapsed obj=-1945.5790
    progress: ~5450 Phase-II iters, 1157s elapsed obj=-1972.7100
    progress: ~5500 Phase-II iters, 1167s elapsed obj=-1985.3399
    progress: ~5550 Phase-II iters, 1176s elapsed obj=-2015.5576
    progress: ~5600 Phase-II iters, 1185s elapsed obj=-2079.6200
    progress: ~5650 Phase-II iters, 1195s elapsed obj=-2084.0120
    progress: ~5700 Phase-II iters, 1204s elapsed obj=-2089.3929
    progress: ~5750 Phase-II iters, 1213s elapsed obj=-2095.1697
    progress: ~5800 Phase-II iters, 1222s elapsed obj=-2100.0231
    progress: ~5850 Phase-II iters, 1231s elapsed obj=-2102.8131
    progress: ~5900 Phase-II iters, 1240s elapsed obj=-2105.5628
    progress: ~5950 Phase-II iters, 1249s elapsed obj=-2110.1206
    progress: ~6000 Phase-II iters, 1258s elapsed obj=-2111.4464
    progress: ~6050 Phase-II iters, 1267s elapsed obj=-2113.3305
    progress: ~6100 Phase-II iters, 1276s elapsed obj=-2114.6049
    progress: ~6150 Phase-II iters, 1285s elapsed obj=-2116.7524
    progress: ~6200 Phase-II iters, 1294s elapsed obj=-2118.1535
    progress: ~6250 Phase-II iters, 1303s elapsed obj=-2123.9817
    progress: ~6300 Phase-II iters, 1312s elapsed obj=-2126.6269
    progress: ~6350 Phase-II iters, 1321s elapsed obj=-2132.4079
    progress: ~6400 Phase-II iters, 1331s elapsed obj=-2135.5729
    progress: ~6450 Phase-II iters, 1340s elapsed obj=-2137.1774
    progress: ~6500 Phase-II iters, 1349s elapsed obj=-2161.8575
    progress: ~6550 Phase-II iters, 1358s elapsed obj=-2177.4771
    progress: ~6600 Phase-II iters, 1368s elapsed obj=-2203.6471
    progress: ~6650 Phase-II iters, 1377s elapsed obj=-2210.7038
    progress: ~6700 Phase-II iters, 1386s elapsed obj=-2235.8451
    progress: ~6750 Phase-II iters, 1396s elapsed obj=-2238.7120
    progress: ~6800 Phase-II iters, 1405s elapsed obj=-2249.0786
    progress: ~6850 Phase-II iters, 1415s elapsed obj=-2278.2494
    progress: ~6900 Phase-II iters, 1425s elapsed obj=-2278.6043
[run3] round 2: Phase II stopped at pivot 6928 (current basis is not primal feasible); last_obj=-2355.987693 failed-basis min_xB=-3.103e-04 cond2=1.165e+06
[run3] round 2: vertex cleanup swaps=0 cond2=1.165e+06 min_xB(gesv)=-3.103e-04
[run3] round 2: re-repair pivots=1 feas=True min_xB=0.000e+00
    progress: ~50 Phase-II iters, 1440s elapsed obj=-2374.9917
    progress: ~100 Phase-II iters, 1451s elapsed obj=-2401.6539
    progress: ~150 Phase-II iters, 1461s elapsed obj=-2403.7094
    progress: ~200 Phase-II iters, 1472s elapsed obj=-2419.4614
    progress: ~250 Phase-II iters, 1482s elapsed obj=-2433.3155
    progress: ~300 Phase-II iters, 1492s elapsed obj=-2441.4431
    progress: ~350 Phase-II iters, 1502s elapsed obj=-2442.1076
    progress: ~400 Phase-II iters, 1511s elapsed obj=-2442.5037
    progress: ~450 Phase-II iters, 1522s elapsed obj=-2444.1702
    progress: ~500 Phase-II iters, 1531s elapsed obj=-2450.4522
    progress: ~550 Phase-II iters, 1541s elapsed obj=-2457.8232
    progress: ~600 Phase-II iters, 1550s elapsed obj=-2466.0761
    progress: ~650 Phase-II iters, 1560s elapsed obj=-2468.3269
    progress: ~700 Phase-II iters, 1571s elapsed obj=-2472.9901
    progress: ~750 Phase-II iters, 1581s elapsed obj=-2473.6661
    progress: ~800 Phase-II iters, 1591s elapsed obj=-2475.6855
    progress: ~850 Phase-II iters, 1601s elapsed obj=-2479.7673
    progress: ~900 Phase-II iters, 1611s elapsed obj=-2481.9748
    progress: ~950 Phase-II iters, 1621s elapsed obj=-2483.3001
    progress: ~1000 Phase-II iters, 1631s elapsed obj=-2484.8577
    progress: ~1050 Phase-II iters, 1640s elapsed obj=-2486.3592
    progress: ~1100 Phase-II iters, 1650s elapsed obj=-2487.9238
    progress: ~1150 Phase-II iters, 1659s elapsed obj=-2488.6830
[run3] round 3: Phase II stopped at pivot 1169 (current basis is not primal feasible); last_obj=-2489.524332 failed-basis min_xB=-1.204e-05 cond2=3.723e+06
[run3] round 3: vertex cleanup swaps=0 cond2=3.723e+06 min_xB(gesv)=-1.204e-05
[run3] round 3: re-repair pivots=1 feas=True min_xB=-3.553e-15
    progress: ~50 Phase-II iters, 1674s elapsed obj=-2491.5172
    progress: ~100 Phase-II iters, 1684s elapsed obj=-2492.1508
    progress: ~150 Phase-II iters, 1694s elapsed obj=-2493.1695
    progress: ~200 Phase-II iters, 1704s elapsed obj=-2494.4750
    progress: ~250 Phase-II iters, 1714s elapsed obj=-2499.6182
[run3] round 4: Phase II stopped at pivot 297 (current basis is not primal feasible); last_obj=-2501.254736 failed-basis min_xB=-7.401e-04 cond2=1.499e+06
[run3] round 4: vertex cleanup swaps=0 cond2=1.499e+06 min_xB(gesv)=-7.401e-04
[run3] round 4: re-repair pivots=1 feas=True min_xB=-1.776e-15
    progress: ~50 Phase-II iters, 1735s elapsed obj=-2503.9834
    progress: ~100 Phase-II iters, 1744s elapsed obj=-2506.4770
    progress: ~150 Phase-II iters, 1753s elapsed obj=-2523.7254
    progress: ~200 Phase-II iters, 1763s elapsed obj=-2530.5702
    progress: ~250 Phase-II iters, 1772s elapsed obj=-2532.7726
    progress: ~300 Phase-II iters, 1781s elapsed obj=-2537.4891
    progress: ~350 Phase-II iters, 1791s elapsed obj=-2541.3779
    progress: ~400 Phase-II iters, 1800s elapsed obj=-2543.8289
    progress: ~450 Phase-II iters, 1809s elapsed obj=-2545.9084
    progress: ~500 Phase-II iters, 1819s elapsed obj=-2548.6120
    progress: ~550 Phase-II iters, 1828s elapsed obj=-2552.0080
    progress: ~600 Phase-II iters, 1837s elapsed obj=-2554.6970
[run3] round 5: Phase II stopped at pivot 614 (current basis is not primal feasible); last_obj=-2554.927418 failed-basis min_xB=-1.052e-04 cond2=3.164e+06
[run3] round 5: vertex cleanup swaps=0 cond2=3.164e+06 min_xB(gesv)=-1.052e-04
[run3] round 5: re-repair pivots=1 feas=True min_xB=-1.900e-14
    progress: ~50 Phase-II iters, 1850s elapsed obj=-2557.9355
    progress: ~100 Phase-II iters, 1859s elapsed obj=-2563.6228
[run3] round 6: Phase II stopped at pivot 117 (current basis is not primal feasible); last_obj=-2563.861658 failed-basis min_xB=-6.487e-05 cond2=1.283e+08
[run3] round 6: vertex cleanup swaps=0 cond2=1.283e+08 min_xB(gesv)=-6.487e-05
[run3] round 6: re-repair pivots=1 feas=True min_xB=-3.588e-13
[run3] round 7: Phase II stopped at pivot 18 (current basis is not primal feasible); last_obj=-2564.562051 failed-basis min_xB=-9.403e-05 cond2=6.140e+07
[run3] round 7: vertex cleanup swaps=0 cond2=6.140e+07 min_xB(gesv)=-9.403e-05
[run3] round 7: re-repair pivots=1 feas=True min_xB=-2.665e-13
    progress: ~50 Phase-II iters, 1877s elapsed obj=-2566.9481
    progress: ~100 Phase-II iters, 1887s elapsed obj=-2568.9221
    progress: ~150 Phase-II iters, 1896s elapsed obj=-2569.7795
    progress: ~200 Phase-II iters, 1905s elapsed obj=-2570.7223
    progress: ~250 Phase-II iters, 1914s elapsed obj=-2571.4485
    progress: ~300 Phase-II iters, 1923s elapsed obj=-2571.5984
    progress: ~350 Phase-II iters, 1932s elapsed obj=-2575.0336
    progress: ~400 Phase-II iters, 1941s elapsed obj=-2576.9994
    progress: ~450 Phase-II iters, 1950s elapsed obj=-2578.1841
    progress: ~500 Phase-II iters, 1959s elapsed obj=-2578.9841
    progress: ~550 Phase-II iters, 1968s elapsed obj=-2580.1834
    progress: ~600 Phase-II iters, 1977s elapsed obj=-2580.6756
    progress: ~650 Phase-II iters, 1986s elapsed obj=-2581.0431
[run3] certification: OPTIMAL at tol=1e-08 (extra pivots=0, rounds=1)
[run3] RRQR cond2=9.423e+01 (0.1s)
[run3] repair pivots=1279 min_xB=0.000e+00 resid=1.43e-13 cond2=1.246e+05 (8.3s)
[run3] Phase II pivots=10589 (1988.7s) status=optimal (certified: simplex optimum reached)
[run3] VERIFY basis_resid=1.04e-10 rel_primal=4.148e-14 min_reduced=-1.138e-14 rel_dual=-1.116e-14 rel_gap=1.762e-15
[run3] OBJECTIVE=-2581.139259  (dual bound -2581.139259)
